RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
;;9782487000025;Le coup de dés  - Et autres textes rares- Grand Format;Pierre Boulle;;;Miroitements;;;;;2023-08-29 00:00:00;August;2023.0;https://www.decitre.fr/livres/le-coup-de-des-9782487000025.html;['Livres', 'Littérature', 'Romans'];17,00 €;pas de prix ebook;https://products-images.di-static.com/image/pierre-boulle-le-coup-de-des/9782487000025-475x500-1.webp 1x,https://products-images.di-static.com/image/pierre-boulle-le-coup-de-des/9782487000025-475x500-2.webp 2x;Date de parution|29/08/2023|Editeur|Miroitements|ISBN|978-2-487000-02-5|EAN|9782487000025|Format|Grand Format|Présentation|Relié|Nb. de pages|200 pages|Poids|0.2 Kg|Dimensions|1,3 cm × 2,2 cm × 0,1 cm;978-2-487000-02-5;Grand Format;Relié;200 pages;0.2 Kg;1,3 cm × 2,2 cm × 0,1 cm;
;;9782379614200;La meute de Mervent Tome 3- Grand Format;Laura Black;;;Elixyria;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/la-meute-de-mervent-tome-3-les-loups-blancs-9782379614200.html;['Livres', 'Littérature', 'Romans'];17,90 €;pas de prix ebook;https://products-images.di-static.com/image/laura-black-la-meute-de-mervent-tome-3-les-loups-blancs/9782379614200-475x500-1.webp 1x,https://products-images.di-static.com/image/laura-black-la-meute-de-mervent-tome-3-les-loups-blancs/9782379614200-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|Elixyria|Collection|ELIXIR OF MOONL|ISBN|978-2-37961-420-0|EAN|9782379614200|Format|Grand Format|Présentation|Broché|Poids|0.46 Kg|Dimensions|14,8 cm × 21,0 cm × 2,4 cm;978-2-37961-420-0;Grand Format;Broché;;0.46 Kg;14,8 cm × 21,0 cm × 2,4 cm;ELIXIR OF MOONL
;;9782379615177;The sons of sorrow Tome 1- Grand Format;Lisa Barthelet;;;Elixyria;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/the-sons-of-sorrow-tome-1-wicked-mind-9782379615177.html;['Livres', 'Littérature', 'Romans'];19,90 €;pas de prix ebook;https://products-images.di-static.com/image/lisa-barthelet-the-sons-of-sorrow-tome-1-wicked-mind/9782379615177-475x500-1.webp 1x,https://products-images.di-static.com/image/lisa-barthelet-the-sons-of-sorrow-tome-1-wicked-mind/9782379615177-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|Elixyria|Collection|Elixir of Love|ISBN|978-2-37961-517-7|EAN|9782379615177|Format|Grand Format|Présentation|Broché|Poids|0.504 Kg|Dimensions|14,8 cm × 21,0 cm × 3,1 cm;978-2-37961-517-7;Grand Format;Broché;;0.504 Kg;14,8 cm × 21,0 cm × 3,1 cm;Elixir of Love
;;9782956030614;Allégeance Tome 2- Grand Format;Franck Leroy;;;Santal Editions;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/allegeance-tome-2-trouble-massacre-au-couchant-9782956030614.html;['Livres', 'Littérature', 'Romans'];23,00 €;pas de prix ebook;https://products-images.di-static.com/image/franck-leroy-allegeance-tome-2-trouble-massacre-au-couchant/9782956030614-45x70-1.webp 1x,https://products-images.di-static.com/image/franck-leroy-allegeance-tome-2-trouble-massacre-au-couchant/9782956030614-45x70-2.webp 2x;Date de parution|28/08/2023|Editeur|Santal Editions|ISBN|978-2-9560306-1-4|EAN|9782956030614|Format|Grand Format|Présentation|Broché|Nb. de pages|312 pages|Poids|0.48 Kg|Dimensions|14,5 cm × 24,0 cm × 2,2 cm;978-2-9560306-1-4;Grand Format;Broché;312 pages;0.48 Kg;14,5 cm × 24,0 cm × 2,2 cm;
;;9791038121546;Les frères Lucas  - Tome 7, Torrides nuits d'été- Grand Format;Jordan Marie;;;Collection Infinity;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/les-freres-lucas-9791038121546.html;['Livres', 'Littérature', 'Romans'];17,00 €;Ebook7,99 €;https://products-images.di-static.com/image/hachette-les-freres-lucas/9791038121546-45x70-1.webp 1x,https://products-images.di-static.com/image/hachette-les-freres-lucas/9791038121546-45x70-2.webp 2x;Date de parution|28/08/2023|Editeur|Collection Infinity|Collection|Romance Passion|ISBN|979-10-381-2154-6|EAN|9791038121546|Format|Grand Format|Présentation|Broché|Nb. de pages|272 pages|Poids|0.316 Kg|Dimensions|14,0 cm × 21,6 cm × 0,0 cm;979-10-381-2154-6;Grand Format;Broché;272 pages;0.316 Kg;14,0 cm × 21,6 cm × 0,0 cm;Romance Passion
;;9791038121584;La Meute Weston  - Tome 6, Deux minutes- Grand Format;Dannika Dark;;;Collection Infinity;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/la-meute-weston-9791038121584.html;['Livres', 'Littérature', 'Romans'];23,00 €;Ebook7,99 €;https://products-images.di-static.com/image/hachette-la-meute-weston/9791038121584-45x70-1.webp 1x,https://products-images.di-static.com/image/hachette-la-meute-weston/9791038121584-45x70-2.webp 2x;Date de parution|28/08/2023|Editeur|Collection Infinity|Collection|Paranormal|ISBN|979-10-381-2158-4|EAN|9791038121584|Format|Grand Format|Présentation|Broché|Nb. de pages|408 pages|Poids|0.513 Kg|Dimensions|14,0 cm × 21,6 cm × 0,0 cm;979-10-381-2158-4;Grand Format;Broché;408 pages;0.513 Kg;14,0 cm × 21,6 cm × 0,0 cm;Paranormal
;;9791038121683;Alpha Academy  - Tome 3, Le roi de minuit- Grand Format;Leia Stone;;;Collection Infinity;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/alpha-academy-9791038121683.html;['Livres', 'Littérature', 'Romans'];13,00 €;Ebook7,99 €;https://products-images.di-static.com/image/leia-stone-alpha-academy/9791038121683-45x70-1.webp 1x,https://products-images.di-static.com/image/leia-stone-alpha-academy/9791038121683-45x70-2.webp 2x;Date de parution|28/08/2023|Editeur|Collection Infinity|Collection|Urban fantasy|ISBN|979-10-381-2168-3|EAN|9791038121683|Format|Grand Format|Présentation|Broché|Nb. de pages|104 pages|Dimensions|14,0 cm × 21,6 cm × 0,0 cm;979-10-381-2168-3;Grand Format;Broché;104 pages;;14,0 cm × 21,6 cm × 0,0 cm;Urban fantasy
;;9791038135031;La meute Weston  - Tome 6.5, Prince- Grand Format;Dannika Dark;;;Collection Infinity;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/la-meute-weston-9791038135031.html;['Livres', 'Littérature', 'Romans'];17,00 €;Ebook7,99 €;https://products-images.di-static.com/image/hachette-la-meute-weston/9791038135031-45x70-1.webp 1x,https://products-images.di-static.com/image/hachette-la-meute-weston/9791038135031-45x70-2.webp 2x;Date de parution|28/08/2023|Editeur|Collection Infinity|Collection|Paranormal|ISBN|979-10-381-3503-1|EAN|9791038135031|Format|Grand Format|Présentation|Broché|Nb. de pages|240 pages|Poids|0.3 Kg|Dimensions|14,0 cm × 21,6 cm × 0,0 cm;979-10-381-3503-1;Grand Format;Broché;240 pages;0.3 Kg;14,0 cm × 21,6 cm × 0,0 cm;Paranormal
;;9782352848233;Le chant des brisures- Grand Format;Parola;;;Jasmin (Editions du);;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/le-chant-des-brisures-9782352848233.html;['Livres', 'Littérature', 'Romans'];17,00 €;pas de prix ebook;https://products-images.di-static.com/image/parola-le-chant-des-brisures/9782352848233-475x500-1.webp 1x,https://products-images.di-static.com/image/parola-le-chant-des-brisures/9782352848233-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|Jasmin (Editions du)|ISBN|978-2-35284-823-3|EAN|9782352848233|Format|Grand Format|Présentation|Broché|Nb. de pages|178 pages|Poids|0.26 Kg|Dimensions|15,0 cm × 19,0 cm × 1,5 cm;978-2-35284-823-3;Grand Format;Broché;178 pages;0.26 Kg;15,0 cm × 19,0 cm × 1,5 cm;
;;9791038116467;Sept de Pique  - Tome 1, Main mortelle- Grand Format;Cordelia Kingsbridge;;;MXM Bookmark;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/sept-de-pique-9791038116467.html;['Livres', 'Littérature', 'Romans'];19,00 €;Ebook6,99 €;https://products-images.di-static.com/image/hachette-sept-de-pique/9791038116467-45x70-1.webp 1x,https://products-images.di-static.com/image/hachette-sept-de-pique/9791038116467-45x70-2.webp 2x;Date de parution|28/08/2023|Editeur|MXM Bookmark|ISBN|979-10-381-1646-7|EAN|9791038116467|Format|Grand Format|Présentation|Broché|Nb. de pages|344 pages|Poids|0.399 Kg|Dimensions|14,0 cm × 21,6 cm × 0,0 cm;979-10-381-1646-7;Grand Format;Broché;344 pages;0.399 Kg;14,0 cm × 21,6 cm × 0,0 cm;
;;9791038124035;Les Carlisle Tome 2- Grand Format;Meg Harding;;;Collection Infinity;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/les-carlisle-tome-2-un-escort-pour-deux-semaines-9791038124035.html;['Livres', 'Littérature', 'Romans'];17,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-les-carlisle-tome-2-un-escort-pour-deux-semaines/9791038124035-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-les-carlisle-tome-2-un-escort-pour-deux-semaines/9791038124035-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|Collection Infinity|Collection|Romance Passion|ISBN|979-10-381-2403-5|EAN|9791038124035|Format|Grand Format|Présentation|Broché|Nb. de pages|248 pages|Poids|0.32 Kg|Dimensions|14,0 cm × 21,6 cm × 0,0 cm;979-10-381-2403-5;Grand Format;Broché;248 pages;0.32 Kg;14,0 cm × 21,6 cm × 0,0 cm;Romance Passion
;;9791038128071;Jackson et Leland Tome 4- Grand Format;Alice Winters;;;MXM Bookmark;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/jackson-et-leland-tome-4-comment-reparer-ses-erreurs-en-detruisant-tout-quand-on-est-un-tueur-a-gages-9791038128071.html;['Livres', 'Littérature', 'Romans'];19,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-jackson-et-leland-tome-4-comment-reparer-ses-erreurs-en-detruisant-tout-quand-on-est-un-tueur-a-gages/9791038128071-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-jackson-et-leland-tome-4-comment-reparer-ses-erreurs-en-detruisant-tout-quand-on-est-un-tueur-a-gages/9791038128071-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|MXM Bookmark|ISBN|979-10-381-2807-1|EAN|9791038128071|Format|Grand Format|Présentation|Broché|Nb. de pages|384 pages|Poids|0.488 Kg|Dimensions|14,0 cm × 21,6 cm × 0,0 cm;979-10-381-2807-1;Grand Format;Broché;384 pages;0.488 Kg;14,0 cm × 21,6 cm × 0,0 cm;
;;9791038138650;Vivianne- Grand Format;Justine Bourcelet;;;Pemberley;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/vivianne-9791038138650.html;['Livres', 'Littérature', 'Romans'];13,00 €;pas de prix ebook;https://products-images.di-static.com/image/justine-bourcelet-vivianne/9791038138650-475x500-1.webp 1x,https://products-images.di-static.com/image/justine-bourcelet-vivianne/9791038138650-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|Pemberley|ISBN|979-10-381-3865-0|EAN|9791038138650|Format|Grand Format|Présentation|Broché|Nb. de pages|208 pages|Dimensions|14,0 cm × 21,6 cm × 0,0 cm;979-10-381-3865-0;Grand Format;Broché;208 pages;;14,0 cm × 21,6 cm × 0,0 cm;
RL;NON;9782494667013;Porter ton ombre- Grand Format;Martine Merlin-Dhaine;Romans français;M;Sterenn éditions;FRANCE;EUROPE;VF;-;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/porter-ton-ombre-9782494667013.html;['Livres', 'Littérature', 'Romans'];16,00 €;pas de prix ebook;https://products-images.di-static.com/image/martine-merlin-dhaine-porter-ton-ombre/9782494667013-475x500-1.webp 1x,https://products-images.di-static.com/image/martine-merlin-dhaine-porter-ton-ombre/9782494667013-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|Sterenn éditions|Collection|Jardin d'écueils|ISBN|978-2-494667-01-3|EAN|9782494667013|Format|Grand Format|Présentation|Broché|Nb. de pages|121 pages|Poids|0.17 Kg|Dimensions|13,5 cm × 21,0 cm × 1,0 cm;978-2-494667-01-3;Grand Format;Broché;121 pages;0.17 Kg;13,5 cm × 21,0 cm × 1,0 cm;Jardin d'écueils
;;9782494707061;A vif Tome 1- Grand Format;Belle Aurora;;;Happily Ever After;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/a-vif-tome-1-9782494707061.html;['Livres', 'Littérature', 'Romans'];19,90 €;pas de prix ebook;https://products-images.di-static.com/image/belle-aurora-a-vif-tome-1/9782494707061-475x500-1.webp 1x;Date de parution|28/08/2023|Editeur|Happily Ever After|ISBN|978-2-494707-06-1|EAN|9782494707061|Format|Grand Format|Présentation|Broché|Nb. de pages|392 pages|Poids|0.43 Kg|Dimensions|14,3 cm × 20,8 cm × 2,8 cm;978-2-494707-06-1;Grand Format;Broché;392 pages;0.43 Kg;14,3 cm × 20,8 cm × 2,8 cm;
;;9782846795470;Le Rire caché de Stig Dagerman- Grand Format;Claude Le Manchec;;;Ginkgo;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/le-rire-cache-de-stig-dagerman-9782846795470.html;['Livres', 'Littérature', 'Romans'];15,00 €;pas de prix ebook;https://products-images.di-static.com/image/claude-le-manchec-le-rire-cache-de-stig-dagerman/9782846795470-475x500-1.webp 1x,https://products-images.di-static.com/image/claude-le-manchec-le-rire-cache-de-stig-dagerman/9782846795470-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|Ginkgo|Collection|L'élan|ISBN|978-2-84679-547-0|EAN|9782846795470|Format|Grand Format|Présentation|Broché|Nb. de pages|181 pages|Poids|0.22 Kg|Dimensions|13,0 cm × 21,5 cm × 1,4 cm;978-2-84679-547-0;Grand Format;Broché;181 pages;0.22 Kg;13,0 cm × 21,5 cm × 1,4 cm;L'élan
;;9782874898945;Retour à Anvie- Grand Format;Pascal Lorent;;;Weyrich Edition;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/retour-a-anvie-9782874898945.html;['Livres', 'Littérature', 'Romans'];22,00 €;pas de prix ebook;https://products-images.di-static.com/image/pascal-lorent-retour-a-anvie/9782874898945-475x500-1.webp 1x,https://products-images.di-static.com/image/pascal-lorent-retour-a-anvie/9782874898945-475x500-2.webp 2x;Date de parution|28/08/2023|Editeur|Weyrich Edition|Collection|Plumes du coq|ISBN|978-2-87489-894-5|EAN|9782874898945|Format|Grand Format|Présentation|Relié|Nb. de pages|400 pages|Poids|0.516 Kg|Dimensions|12,5 cm × 21,5 cm × 3,0 cm;978-2-87489-894-5;Grand Format;Relié;400 pages;0.516 Kg;12,5 cm × 21,5 cm × 3,0 cm;Plumes du coq
;;9782494707092;Black lady- Grand Format;Lova Lloyd;;;Happily Ever After;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/black-lady-9782494707092.html;['Livres', 'Littérature', 'Romans'];19,99 €;pas de prix ebook;https://products-images.di-static.com/image/clarisse-sabard-un-air-d-eternite/9782368129548-200x303-1.webp 1x,https://products-images.di-static.com/image/clarisse-sabard-un-air-d-eternite/9782368129548-200x303-2.webp 2x;Date de parution|28/08/2023|Editeur|Happily Ever After|ISBN|978-2-494707-09-2|EAN|9782494707092|Format|Grand Format|Présentation|Broché|Poids|0.4 Kg;978-2-494707-09-2;Grand Format;Broché;;0.4 Kg;;
;;9782494707108;Writing love- Grand Format;Florian D.;;;Happily Ever After;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/writing-love-9782494707108.html;['Livres', 'Littérature', 'Romans'];19,99 €;pas de prix ebook;https://products-images.di-static.com/image/acacia-black-my-missing-piece-tome-2/9782380157680-200x303-1.webp 1x,https://products-images.di-static.com/image/acacia-black-my-missing-piece-tome-2/9782380157680-200x303-2.webp 2x;Date de parution|28/08/2023|Editeur|Happily Ever After|ISBN|978-2-494707-10-8|EAN|9782494707108|Format|Grand Format|Présentation|Broché|Poids|0.42 Kg;978-2-494707-10-8;Grand Format;Broché;;0.42 Kg;;
;;9782363365903;La vie, modalités d'usage- Grand Format;Jacques Flament Editions;;;Jacques Flament Editions;;;;;2023-08-28 00:00:00;August;2023.0;https://www.decitre.fr/livres/la-vie-modalites-d-usage-9782363365903.html;['Livres', 'Littérature', 'Romans'];16,00 €;pas de prix ebook;https://products-images.di-static.com/image/jacques-flament-editions-les-contes-de-la-foret-bleue/9782363360953-200x303-1.webp 1x;Date de parution|28/08/2023|Editeur|Jacques Flament Editions|ISBN|978-2-36336-590-3|EAN|9782363365903|Format|Grand Format|Présentation|Broché|Nb. de pages|256 pages|Poids|0.401 Kg|Dimensions|13,0 cm × 20,0 cm × 0,0 cm;978-2-36336-590-3;Grand Format;Broché;256 pages;0.401 Kg;13,0 cm × 20,0 cm × 0,0 cm;
;;9782379460968;Là-bas, la forêt m'attend- Grand Format;Patrick Fort;;;Passiflore Editions;;;;;2023-08-26 00:00:00;August;2023.0;https://www.decitre.fr/livres/la-bas-la-foret-m-attend-9782379460968.html;['Livres', 'Littérature', 'Romans'];19,00 €;pas de prix ebook;https://products-images.di-static.com/image/patrick-fort-la-bas-la-foret-m-attend/9782379460968-475x500-1.webp 1x,https://products-images.di-static.com/image/patrick-fort-la-bas-la-foret-m-attend/9782379460968-475x500-2.webp 2x;Date de parution|26/08/2023|Editeur|Passiflore Editions|ISBN|978-2-37946-096-8|EAN|9782379460968|Format|Grand Format|Présentation|Broché|Nb. de pages|320 pages|Poids|0.34 Kg|Dimensions|13,0 cm × 21,0 cm × 2,2 cm;978-2-37946-096-8;Grand Format;Broché;320 pages;0.34 Kg;13,0 cm × 21,0 cm × 2,2 cm;
;;9782322473663;4:44- Grand Format;Elise Irribarria Fernandez;;;Books on Demand;;;;;2023-08-26 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/4-44-9782322473663.html;['Livres', 'Littérature', 'Romans'];12,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-4-44/9782322473663-475x500-1.webp 1x;Date de parution|26/08/2023|Editeur|Books on Demand|ISBN|978-2-322-47366-3|EAN|9782322473663|Format|Grand Format|Présentation|Broché|Nb. de pages|226 pages|Poids|0.301 Kg|Dimensions|14,8 cm × 21,0 cm × 1,5 cm;978-2-322-47366-3;Grand Format;Broché;226 pages;0.301 Kg;14,8 cm × 21,0 cm × 1,5 cm;
RL;NON;9782490155804;Les femmes de Bidibidi- Grand Format;Charline Effah;Romans français;F;Collas Emmanuelle;FRANCE;EUROPE;VF;-;2023-08-25 00:00:00;August;2023.0;https://www.decitre.fr/livres/les-femmes-de-bidibidi-9782490155804.html;['Livres', 'Littérature', 'Romans'];19,00 €;Ebook12,99 €;https://products-images.di-static.com/image/charline-effah-les-femmes-de-bidibidi/9782490155804-475x500-1.webp 1x,https://products-images.di-static.com/image/charline-effah-les-femmes-de-bidibidi/9782490155804-475x500-2.webp 2x;Date de parution|25/08/2023|Editeur|Collas Emmanuelle|ISBN|978-2-490155-80-4|EAN|9782490155804|Format|Grand Format|Présentation|Broché|Nb. de pages|228 pages|Poids|0.246 Kg|Dimensions|12,6 cm × 19,2 cm × 2,1 cm;978-2-490155-80-4;Grand Format;Broché;228 pages;0.246 Kg;12,6 cm × 19,2 cm × 2,1 cm;
;;9782832112410;Nani- Grand Format;Mélanie Richoz;;;Slatkine (Editions);;;;;2023-08-25 00:00:00;August;2023.0;https://www.decitre.fr/livres/nani-9782832112410.html;['Livres', 'Littérature', 'Romans'];24,00 €;Ebook11,99 €;https://products-images.di-static.com/image/melanie-richoz-nani/9782832112410-45x70-1.webp 1x,https://products-images.di-static.com/image/melanie-richoz-nani/9782832112410-45x70-2.webp 2x;Date de parution|25/08/2023|Editeur|Slatkine (Editions)|ISBN|978-2-8321-1241-0|EAN|9782832112410|Format|Grand Format|Présentation|Broché|Nb. de pages|174 pages|Poids|0.187 Kg|Dimensions|11,0 cm × 20,0 cm × 1,2 cm;978-2-8321-1241-0;Grand Format;Broché;174 pages;0.187 Kg;11,0 cm × 20,0 cm × 1,2 cm;
;;9782832112465;Une ascension- Grand Format;Pauline Desnuelles;;;Slatkine (Editions);;;;;2023-08-25 00:00:00;August;2023.0;https://www.decitre.fr/livres/une-ascension-9782832112465.html;['Livres', 'Littérature', 'Romans'];25,00 €;Ebook12,99 €;https://products-images.di-static.com/image/pauline-desnuelles-une-ascension/9782832112465-45x70-1.webp 1x,https://products-images.di-static.com/image/pauline-desnuelles-une-ascension/9782832112465-45x70-2.webp 2x;Date de parution|25/08/2023|Editeur|Slatkine (Editions)|ISBN|978-2-8321-1246-5|EAN|9782832112465|Format|Grand Format|Présentation|Broché|Nb. de pages|186 pages|Poids|0.26 Kg|Dimensions|14,0 cm × 21,0 cm × 1,2 cm;978-2-8321-1246-5;Grand Format;Broché;186 pages;0.26 Kg;14,0 cm × 21,0 cm × 1,2 cm;
;;9782911965128;Mélancolia  - Récits avec pointe- Grand Format;Christian Du Breuil;;;Ravin Bleu (Editions du);;;;;2023-08-25 00:00:00;August;2023.0;https://www.decitre.fr/livres/melancolia-9782911965128.html;['Livres', 'Littérature', 'Romans'];15,00 €;pas de prix ebook;https://products-images.di-static.com/image/christian-du-breuil-melancolia/9782911965128-45x70-1.webp 1x,https://products-images.di-static.com/image/christian-du-breuil-melancolia/9782911965128-45x70-2.webp 2x;Date de parution|25/08/2023|Editeur|Ravin Bleu (Editions du)|ISBN|978-2-911965-12-8|EAN|9782911965128|Format|Grand Format|Présentation|Broché|Nb. de pages|200 pages|Poids|0.15 Kg|Dimensions|15,0 cm × 22,0 cm × 1,5 cm;978-2-911965-12-8;Grand Format;Broché;200 pages;0.15 Kg;15,0 cm × 22,0 cm × 1,5 cm;
